TYPE;PROVINCE;TOWN
Casa o chalet independiente;A Coruña;ferrol
Casa de pueblo;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Piso;A Coruña;ferrol
Casa o chalet independiente;A Coruña;ferrol
Piso;A Coruña;ferrol
Casa o chalet independiente;A Coruña;ferrol
Casa de pueblo;A Coruña;ferrol
Finca rústica;A Coruña;ferrol
Finca rústica;A Coruña;ferrol
Piso;A Coruña;ferrol
Casa o chalet independiente;A Coruña;ferrol
Ático;A Coruña;fisterra
Ático;A Coruña;fisterra
Piso;A Coruña;fisterra
Piso;A Coruña;fisterra
Piso;A Coruña;fisterra
Piso;A Coruña;fisterra
Piso;A Coruña;fisterra
Ático;A Coruña;fisterra
Piso;A Coruña;laracha
Piso;A Coruña;laracha
Piso;A Coruña;laracha
Casa rural;A Coruña;laracha
Piso;A Coruña;laxe
Casa de pueblo;A Coruña;laxe
Piso;A Coruña;laxe
Piso;A Coruña;laxe
Casa o chalet independiente;A Coruña;laxe
Piso;A Coruña;laxe
Dúplex;A Coruña;laxe
Piso;A Coruña;laxe
Piso;A Coruña;laxe
Piso;A Coruña;laxe
Piso;A Coruña;malpica de bergantinos
Casa o chalet independiente;A Coruña;malpica de bergantinos
Casa o chalet independiente;A Coruña;malpica de bergantinos
Piso;A Coruña;malpica de bergantinos
Ático;A Coruña;malpica de bergantinos
Ático;A Coruña;malpica de bergantinos
Ático;A Coruña;malpica de bergantinos
Piso;A Coruña;malpica de bergantinos
Piso;A Coruña;malpica de bergantinos
Piso;A Coruña;malpica de bergantinos
Piso;A Coruña;malpica de bergantinos
